Word Frequencies:
sufferance: 46
bide: 32
accusing: 6
list: 120
charter: 16
privilage: 2
belong: 38
pardon: 618
selfdoing: 2
wait: 136
waiting: 28
hell: 588
been: 1496
brains: 96
beguiled: 28
labouring: 34
backward: 46
five: 256
hundred: 238
courses: 38
character: 40
composed: 6
wonder: 262
mended: 28
revolution: 8
wits: 182
subjects: 146
worse: 352
admiring: 12
waves: 44
pebbled: 2
hasten: 18
goes: 386
sequent: 20
forwards: 2
contend: 36
nativity: 32
main: 104
crawls: 2
maturity: 4
wherewith: 24
crooked: 34
confound: 80
transfix: 2
flourish: 274
delves: 2
parallels: 6
feeds: 48
rarities: 4
stands: 340
mow: 14
slumbers: 12
broken: 140
mock: 180
sendst: 2
home: 700
pry: 16
shames: 50
idle: 144
tenure: 4
jealousy: 82
awake: 164
defeat: 26
watchman: 32
wake: 118
elsewhere: 20
near: 686
sin: 362
possesseth: 4
soul: 932
remedy: 124
grounded: 10
define: 10
worths: 6
surmount: 4
indeed: 898
beated: 2
chopt: 6
tanned: 2
antiquity: 14
contrary: 98
selfloving: 6
iniquity: 24
myself: 1194
painting: 48
crushed: 4
oerworn: 8
drained: 4
travelled: 8
ages: 40
steepy: 4
hes: 674
vanishing: 2
confounding: 8
knife: 124
cut: 362
defaced: 12
richproud: 2
outworn: 8
towers: 26
downrased: 2
brass: 38
advantage: 152
kingdom: 196
firm: 82
soil: 50
win: 256
watery: 32
increasing: 18
interchange: 14
confounded: 24
ruin: 84
taught: 106
ruminate: 16
choose: 220
fears: 176
boundless: 20
mortality: 32
oersways: 4
power: 724
action: 240
flower: 136
honey: 80
wrackful: 2
siege: 70
battring: 2
rocks: 46
impregnable: 8
stout: 40
gates: 202
steel: 146
decays: 14
fearful: 194
meditation: 16
spoil: 56
miracle: 54
ink: 60
restful: 4
cry: 494
beggar: 120
born: 364
needy: 14
trimmed: 14
jollity: 12
purest: 12
faith: 848
unhappily: 10
forsworn: 128
shamefully: 10
misplaced: 6
rudely: 16
strumpeted: 4
wrongfully: 16
disgraced: 28
limping: 6
sway: 74
disabled: 6
tonguetied: 24
authority: 116
doctorlike: 2
simple: 236
miscalled: 2
simplicity: 28
captive: 36
infection: 42
impiety: 16
achieve: 28
lace: 14
society: 52
imitate: 26
indirectly: 18
bankrupt: 24
beggared: 4
blush: 118
lively: 30
veins: 64
exchequer: 14
gains: 16
stores: 4
last: 604
bad: 266
map: 26
lived: 118
bastard: 404
signs: 86
durst: 116
inhabit: 22
tresses: 14
sepulchres: 8
shorn: 4
fleece: 20
gay: 22
anothers: 62
robbing: 12
dress: 44
yore: 2
mend: 122
tongues: 180
voice: 338
uttering: 4
commend: 202
accents: 16
seeing: 128
shown: 66
guess: 108
churls: 4
add: 100
rank: 104
smell: 114
weeds: 94
matcheth: 2
common: 318
defect: 34
slanders: 40
